1,628.331,219.824
2,340.239,292.333
3,830.335,325.905
4,821.794,338.984
5,779.108,354.184
6,414.314,360.531
7,855.022,364.151
8,778.552,366.73
9,833.147,383.451
10,832.3,406.488
11,345.541,398.522
12,386.239,411.167
13,815.595,419.736
14,559.897,392.058
15,865.558,424.994
16,732.806,429.887
17,815.562,432.106
18,719.082,441.367
19,821.106,440.469
20,861.434,446.826
21,320.577,449.724
22,681.396,450.373
23,771.822,456.347
24,750.244,458.595
25,854.259,467.191
26,692.97,470.18
27,834.413,471.664
28,865.558,479.034
29,770.801,479.691
30,749.413,485.519
31,826.605,481.672
32,865.558,490.941
33,842.363,499.963
34,806.629,497.003
35,740.542,496.512
36,815.363,504.572
37,752.484,507.798
38,787.261,510.705
39,845.553,509.863
40,860.827,512.576
41,805.113,517.559
42,457.344,518.341
43,820.058,523.008
44,857.48,528.266
45,775.827,525.613
46,812.01,533.751
47,835.549,522.443
48,798.016,532.438
49,849.983,537.657
50,822.615,513.617
51,847.046,548.258
52,865.558,553.224
53,837.91,557.755
54,807.583,556.928
55,865.558,563.3
56,820.985,562.839
57,817.012,571.143
58,415.126,577.659
59,828.637,576.387
60,780.445,575.993
61,826.283,590.776
62,495.43,592.347
63,780.227,603.554
64,581.792,596.021
65,533.99,596.837
66,860.24,597.136
67,467.248,607.455
68,847.887,606.293
69,838.192,596.654
70,655.319,615.339
71,857.595,632.383
72,392.078,629.614
73,859.604,648.183
74,534.709,541.639
75,865.558,541.317
76,725.133,543.346
77,847.654,437.374
78,672.151,662.715
79,865.558,674.128
80,546.904,682.733
81,851.112,686.091
82,698.789,690.884
83,713.265,694.131
84,861.687,699.599
85,620.232,703.853
86,853.588,711.627
87,815.314,618.182
88,830.09,612.269
89,841.899,718.704
90,612.115,722.192
91,794.204,724.791
92,518.006,725.248
93,849.742,725.482
94,749.114,739.232
95,767.553,759.31
