ID,POSITION_X,POSITION_Y
1,639.143,303.421
2,832.584,301.342
3,839.501,334.238
4,961.839,343.065
5,1011.192,384.692
6,972.574,377.177
7,832.806,319.394
8,1002.814,457.145
9,980.223,448.515
10,969.856,320.331
11,757.312,462.062
12,745.296,439.989
13,986.857,474.922
14,663.438,416.145
15,934.512,417.042
16,625.572,514.694
17,788.429,432.646
18,933.55,477.751
19,742.947,454.353
20,996.477,526.033
21,984.788,535.824
22,991.252,549.484
23,683.68,562.975
24,848.13,587.972
25,718.318,595.256
26,852.379,607.437
27,987.706,614.893
28,970.328,507.667
29,912.639,606.086
30,968.459,649.609
31,977.787,639.925
32,949.546,643.903
33,698.189,639.39
34,675.302,673.243
35,1011.192,694.278
36,651.26,716.946
37,703.653,733.746
38,634.673,757.695
39,926.035,793.675
40,1011.192,796.863
41,977.402,497.899
42,909.994,803.325
43,1000.952,807.501
44,619.172,815.182
